context_len,approach,e_compute_pj,e_io_total_pj,e_inlu_pj,total_energy_pj,percentages
8192,FP16 (Baseline),51013222.400000006,239386674688.0,160563200.0,239598251110.4,"{'Data_Movement': 99.91169533941944, 'Matrix_Compute': 0.021291149732346994, 'iNLU_Overhead': 0.06701351084821444}"
8192,Integer Poly,51013222.400000006,239386674688.0,16056320.0,239453744230.4,"{'Data_Movement': 99.97199060611244, 'Matrix_Compute': 0.021303998634039145, 'iNLU_Overhead': 0.0067053952535195156}"
8192,Integer LUT,51013222.400000006,239386674688.0,25690112.0,239463378022.4,"{'Data_Movement': 99.9679686576572, 'Matrix_Compute': 0.021303141558133412, 'iNLU_Overhead': 0.010728200784671502}"
32768,FP16 (Baseline),51013222.400000006,318306698752.0,642252800.0,318999964774.4,"{'Data_Movement': 99.78267520408966, 'Matrix_Compute': 0.015991607533899593, 'iNLU_Overhead': 0.2013331883764337}"
32768,Integer Poly,51013222.400000006,318306698752.0,64225280.0,318421937254.4,"{'Data_Movement': 99.9638094964833, 'Matrix_Compute': 0.016020636907074497, 'iNLU_Overhead': 0.020169866609626164}"
32768,Integer LUT,51013222.400000006,318306698752.0,102760448.0,318460472422.4,"{'Data_Movement': 99.95171342012077, 'Matrix_Compute': 0.01601869833702219, 'iNLU_Overhead': 0.032267881542202975}"
131072,FP16 (Baseline),51013222.400000006,633986795008.0,2569011200.0,636606819430.4,"{'Data_Movement': 99.58843915232572, 'Matrix_Compute': 0.008013301278431759, 'iNLU_Overhead': 0.40354754639584395}"
131072,Integer Poly,51013222.400000006,633986795008.0,256901120.0,634294709350.4,"{'Data_Movement': 99.95145563444548, 'Matrix_Compute': 0.008042511099019597, 'iNLU_Overhead': 0.04050185445549436}"
131072,Integer LUT,51013222.400000006,633986795008.0,411041792.0,634448850022.4,"{'Data_Movement': 99.92717221973312, 'Matrix_Compute': 0.008040557154166001, 'iNLU_Overhead': 0.06478722311270446}"
